# BLISS footprint polygon
#  Poly 1: Planet 9 (RA < 360)
#  Poly 2: Planet 9 (RA > 360)
#  Poly 3: LIGO/MW & Alfredo
#RA     DEC       POLY
-0.1    -30       1
-10     -30       1
-20     -30       1 
-30     -30       1 
-40     -30       1 
-53     -30       1 
-54     -30       1 
-55     -30       1
-55     -35       1 
-55     -40       1 
-55     -40       1
-50     -40       1
-40     -40       1
-30     -40       1
-20     -40       1
-10     -40       1
-4      -40       1
-0.1    -35       1
#0       -25       2
#5       -25       2 
#3       -28       2 
0.1     -30       2
1       -30       2
2       -30       2 
2       -31       2
1       -32.5     2 
0.1     -35       2 
179.9   -52.0     3
173.8   -51.1     3
168.5   -49.9     3
163.5   -48.4     3
158.8   -46.7     3
154.5   -44.8     3
150.5   -42.7     3
146.7   -40.5     3
143.3   -38.1     3
140.1   -35.5     3
137.2   -32.9     3
134.0   -30.0     3
134     -30       3 
140     -30       3 
145     -30       3 
150     -30       3 
148     -28       3 
145     -25       3 
139     -20       3 
135     -16       3 
135     -13       3 
137     -11       3 
139     -10.5     3 
142     -10.5     3 
144     -10.5     3 
145     -11       3 
148     -15       3 
154     -20       3 
162     -25       3 
173     -30       3 
179.9   -30       3 
-179.9  -30       4
-170    -30       4 
-160    -30       4 
-150    -30       4 
-140    -30       4 
-130    -30       4 
-120    -30       4 
-110    -30       4 
-110.4  -31.9     4
-113.2  -34.5     4
-116.3  -37.1     4
-119.7  -39.5     4
-123.3  -41.9     4
-127.2  -44.0     4
-131.4  -46.0     4
-135.9  -47.8     4
-140.8  -49.3     4
-146.0  -50.7     4
-151.5  -51.7     4
-157.2  -52.4     4
-163.0  -52.8     4
-169.0  -52.9     4
-174.9  -52.6     4
-179.9  -52.6     4
