#
# DES round19 footprint
#      March 19, 2019
#       Eric Neilsen
# 
# This is a minor update of round17 to add back some of the southern region of the footprint 
# near the LMC that was completed an the end of the survey. 
#
#
# DES round17 footprint
#      August 30, 2017
#       Alex Drlica-Wagner
#
# 
# This is a minor update of round13 to remove the southern region of the footprint 
# near the LMC that has been phased out of obstac. 
#
#
# DES round13 footprint
#      August 20, 2013
#       Jim Annis 
#
# Consisting of the SPT-SZ survey area, the SDSS equatorial area, 
# a 3000 sq-degree circle centered at ra,dec= 38.8, -39.5 (r=30.91 deg),
# and the weak lensing poop deck in the East centered at a declination
# corresponding to CTIO zenith, an area optimal for DES weak lensing.
# We attempted to stay in regions where the stellar density was < 7*rho_{sp},
# where rho_{sp} is the south pole stellar desnity, both as measured by 2MASS J-band star counts.
# We also attempted to stary in regions where the SFD dust map estimates the i-band
# extinction is < 0.15 mags. We did a better job with the stars than with the dust
# as the star density is smooth, whereas the dust can be found in clouds, particularily in the NE
# We estimate the footprint area at 5200 sq-degrees, 
# though my current 1-sigma error estimate is 150 sq-degrees
#
#	 The footprint consists of 567 coordinate pairs. 
#	  For questions of whether a point is inside the footprint and area,
#	   we recommend ray casting algorithms; your milage may vary.
#	    Point in polygon algorithms are well studied (think: video games and movies)
#
# With that, we shall consider the footprint complete.
#  (Note that a 2014 iteration would natually be called round14.)
#
# typedef struct {
# 	   double ra;
# 	    double dec;
# } COORDINATE;
#

23.0 -7.0
22.0 -7.0
21.0 -7.0
20.0 -7.0
19.0 -7.0
18.0 -7.0
17.0 -7.0
16.0 -7.0
15.0 -7.0
14.0 -7.0
13.0 -7.0
12.0 -7.0
11.0 -7.0
10.0 -7.0
9.0 -7.0
8.0 -7.0
7.0 -7.0
6.0 -7.0
5.0 -7.0
4.0 -7.0
3.0 -7.0
2.0 -7.0
1.0 -7.0
0.0 -7.0
0.0 -6.0
0.0 -5.0
0.0 -4.0
0.0 -3.0
0.0 -2.0
-1.0 -2.0
-2.0 -2.0
-3.0 -2.0
-4.0 -2.0
-5.0 -2.0
-6.0 -2.0
-7.0 -2.0
-8.0 -2.0
-9.0 -2.0
-10.0 -2.0
-11.0 -2.0
-12.0 -2.0
-13.0 -2.0
-14.0 -2.0
-15.0 -2.0
-16.0 -2.0
-17.0 -2.0
-18.0 -2.0
-19.0 -2.0
-20.0 -2.0
-21.0 -2.0
-22.0 -2.0
-23.0 -2.0
-24.0 -2.0
-25.0 -2.0
-26.0 -2.0
-27.0 -2.0
-28.0 -2.0
-29.0 -2.0
-30.0 -2.0
-31.0 -2.0
-32.0 -2.0
-33.0 -2.0
-34.0 -2.0
-35.0 -2.0
-36.0 -2.0
-37.0 -2.0
-38.0 -2.0
-39.0 -2.0
-40.0 -2.0
-41.0 -2.0
-42.0 -2.0
-43.0 -2.0
-43.0 -1.0
-43.0 0.0
-43.0 1.0
-43.0 2.0
-42.0 2.0
-41.0 2.0
-40.0 2.0
-39.0 2.0
-38.0 2.0
-37.0 2.0
-36.0 2.0
-35.0 2.0
-34.0 2.0
-33.0 2.0
-32.0 2.0
-31.0 2.0
-30.0 2.0
-29.0 2.0
-28.0 2.0
-27.0 2.0
-26.0 2.0
-25.0 2.0
-24.0 2.0
-23.0 2.0
-22.0 2.0
-21.0 2.0
-20.0 2.0
-19.0 2.0
-18.0 2.0
-17.0 2.0
-16.0 2.0
-15.0 2.0
-14.0 2.0
-13.0 2.0
-12.0 2.0
-11.0 2.0
-10.0 2.0
-9.0 2.0
-8.0 2.0
-7.0 2.0
-6.0 2.0
-5.0 2.0
-4.0 2.0
-3.0 2.0
-2.0 2.0
-1.0 2.0
0.0 2.0
0.0 2.0
0.0 3.0
0.0 4.0
0.0 5.0
1.0 5.0
2.0 5.0
3.0 5.0
4.0 5.0
5.0 5.0
6.0 5.0
7.0 5.0
8.0 5.0
9.0 5.0
10.0 5.0
11.0 5.0
12.0 5.0
13.0 5.0
14.0 5.0
15.0 5.0
16.0 5.0
17.0 5.0
18.0 5.0
19.0 5.0
20.0 5.0
21.0 5.0
22.0 5.0
23.0 5.0
24.0 5.0
25.0 5.0
26.0 5.0
27.0 5.0
28.0 5.0
29.0 5.0
30.0 5.0
31.0 5.0
32.0 5.0
33.0 5.0
34.0 5.0
35.0 5.0
36.0 5.0
37.0 5.0
38.0 5.0
39.0 5.0
40.0 5.0
41.0 5.0
42.0 5.0
43.0 5.0
44.0 5.0
45.0 5.0
45.0 5.0
45.0 4.0
45.0 3.0
45.0 2.0
45.0 1.0
45.0 0.0
45.0 -1.0
45.0 -2.0
45.0 -3.0
45.0 -4.0
45.0 -5.0
45.0 -6.0
45.0 -7.0
45.0 -8.0
45.0 -9.0
45.835840000000005 -9.06842
46.36744 -9.145669999999999
46.89697 -9.22888
47.42429 -9.3181
47.94928 -9.41337
48.47183 -9.51474
48.99181 -9.62226
49.50912 -9.73598
50.02364 -9.855939999999999
50.53529 -9.98221
51.04396 -10.11482
51.54955 -10.25382
52.05199 -10.39926
52.55118 -10.55119
53.047059999999995 -10.70965
53.53954 -10.87467
54.02856 -11.0463
54.51405 -11.22457
54.99596 -11.40952
55.474230000000006 -11.601180000000001
55.948809999999995 -11.79957
56.41965 -12.004710000000001
56.88672 -12.21663
57.34998 -12.43534
57.80939 -12.660860000000001
58.26493000000001 -12.893180000000001
58.71657 -13.132320000000002
59.16429 -13.37827
59.60807 -13.631020000000001
60.0479 -13.89057
60.48376999999999 -14.156889999999999
60.91568 -14.42997
61.3436 -14.70979
61.76755 -14.996310000000001
62.18753 -15.2895
62.60354 -15.589310000000001
63.01557 -15.89572
63.42365 -16.208660000000002
63.827780000000004 -16.52808
64.22797 -16.85393
66.0 -18.0
67.0 -18.0
68.0 -18.0
69.0 -18.0
70.0 -18.0
71.0 -18.0
72.0 -18.0
73.0 -18.0
74.0 -18.0
75.0 -18.0
76.0 -18.0
77.0 -18.0
78.0 -18.0
79.0 -18.0
80.0 -18.0
81.0 -18.0
82.0 -18.0
83.0 -18.0
84.0 -18.0
85.0 -18.0
86.0 -18.0
86.66667 -19.0
87.33333 -20.0
88.0 -21.0
88.66667 -22.0
89.41596 -23.1317
89.68146 -24.3655
89.95879000000001 -25.59111
90.24749 -26.80814
90.54705 -28.01619
90.8569 -29.214879999999997
91.17643000000001 -30.403809999999996
91.50499 -31.582629999999998
91.84185 -32.75095
92.18623000000001 -33.908409999999996
92.53729 -35.05464
92.89409 -36.18931
93.25565 -37.31205
93.62088 -38.42252
93.98862 -39.5204
94.35759 -40.60535
94.72643000000001 -41.677040000000005
95.09366999999999 -42.735170000000004
95.45770999999999 -43.77942
95.81685 -44.809490000000004
96.16922 -45.82508
96.51286 -46.8259
96.84562 -47.811679999999996
97.16521 -48.78213
97.46918000000001 -49.736979999999996
97.75487 -50.67597
98.01948 -51.59884
98.25999 -52.505359999999996
98.47317 -53.39526
98.65561 -54.268319999999996
98.80364 -55.1243
98.91339 -55.962990000000005
98.98075 -56.784169999999996
99.00135999999999 -57.587619999999994
98.97062 -58.37314
98.88371 -59.14055
98.73552 -59.88964
98.52073 -60.62023000000001
98.23379 -61.33214
98.0 -61.5
97.0 -61.5
96.0 -61.5
95.0 -61.5
94.0 -61.5
93.0 -61.5
92.0 -61.5
91.0 -61.5
90.0 -61.5
89.0 -61.5
88.0 -61.5
87.0 -61.5
86.0 -61.5
85.0 -61.5
84.0 -61.5
83.0 -62.0
78.66667 -63.0
74.33333 -64.0
69.1922 -65.62708
68.293 -65.99135
67.35218 -66.34555
66.36917 -66.68914000000001
65.34355 -66.9
64.27503 -66.9
63.1635 -66.9
62.00905 -66.9
60.811969999999995 -66.9
59.5728 -66.9
58.29235 -66.9
56.97169 -66.9
55.6122 -66.9
54.21558 -66.9
52.783809999999995 -66.9
51.31925 -66.9
49.82454 -66.9
48.30265 -66.5
46.75683 -66.5
45.19062 -66.5
43.60779 -66.5
42.0123 -66.5
40.4083 -66.5
23.384420000000002 -65.5
21.9878 -65.5
20.62831 -65.5
19.30765 -65.5
18.0272 -65.5
16.78803 -65.5
15.59095 -65.5
14.4365 -65.5
13.32497 -65.5
12.25645 -65.5
11.230830000000001 -65.5
10.247819999999999 -65.5
9.307 -65.2
8.4078 -65.2
7.54955 -65.2
4.0 -65.0
3.0 -65.0
2.0 -65.0
1.0 -65.0
0.0 -65.0
-1.0 -65.0
-2.0 -65.0
-3.0 -65.0
-4.0 -65.0
-5.0 -65.0
-6.0 -65.0
-7.0 -65.0
-8.0 -65.0
-9.0 -65.0
-10.0 -65.0
-11.0 -65.0
-12.0 -65.0
-13.0 -65.0
-14.0 -65.0
-15.0 -65.0
-16.0 -65.0
-17.0 -65.0
-18.0 -65.0
-19.0 -65.0
-20.0 -65.0
-21.0 -65.0
-22.0 -65.0
-23.0 -65.0
-24.0 -65.0
