# This file is an approximation to the footprint for ease of plotting.
# It should not be used for any real footprint selection.
#RA     DEC
-60.00  -65.00
-59.00  -65.00  
-58.00  -65.00  
-57.00  -65.00  
-56.00  -65.00  
-55.00  -65.00  
-54.00  -65.00  
-53.00  -65.00  
-52.00  -65.00  
-51.00  -65.00  
-50.00  -65.00  
-49.00  -65.00  
-48.00  -65.00  
-47.00  -65.00  
-46.00  -65.00  
-45.00  -65.00  
-44.00  -65.00  
-43.00  -65.00  
-42.00  -65.00  
-41.00  -65.00  
-40.00  -65.00  
-39.00  -65.00  
-38.00  -65.00  
-37.00  -65.00  
-36.00  -65.00  
-35.00  -65.00  
-34.00  -65.00  
-33.00  -65.00  
-32.00  -65.00  
-31.00  -65.00  
-30.00  -65.00  
-29.00  -65.00  
-28.00  -65.00  
-27.00  -65.00  
-26.00  -65.00  
-25.00  -65.00  
-24.00  -65.00  
-23.00  -65.00  
-22.00  -65.00  
-21.00  -65.00  
-20.00  -65.00  
-19.00  -65.00  
-18.00  -65.00  
-17.00  -65.00  
-16.00  -65.00  
-15.00  -65.00  
-14.00  -65.00  
-13.00  -65.00  
-12.00  -65.00  
-11.00  -65.00  
-10.00  -65.00  
-9.00   -65.00  
-8.00   -65.00  
-7.00   -65.00  
-6.00   -65.00  
-5.00   -65.00  
-4.00   -65.00  
-3.00   -65.00  
-2.00   -65.00  
-1.00   -65.00  
0.00    -65.00
0.00    -66.00  
0.00    -67.00  
0.00    -68.00  
0.00    -69.00  
0.00    -70.00  
0.00    -71.00  
0.00    -72.00  
0.00    -73.00  
0.00    -74.00  
0.00    -75.00  
0.00    -76.00  
0.00    -77.00  
0.00    -78.00  
0.00    -79.00  
0.00    -80.00
1.00    -80.00  
2.00    -80.00  
3.00    -80.00  
4.00    -80.00  
5.00    -80.00  
6.00    -80.00  
7.00    -80.00  
8.00    -80.00  
9.00    -80.00  
10.00   -80.00  
11.00   -80.00  
12.00   -80.00  
13.00   -80.00  
14.00   -80.00  
15.00   -80.00  
16.00   -80.00  
17.00   -80.00  
18.00   -80.00  
19.00   -80.00  
20.00   -80.00  
21.00   -80.00  
22.00   -80.00  
23.00   -80.00  
24.00   -80.00  
25.00   -80.00  
26.00   -80.00  
27.00   -80.00  
28.00   -80.00  
29.00   -80.00  
30.00   -80.00  
31.00   -80.00  
32.00   -80.00  
33.00   -80.00  
34.00   -80.00  
35.00   -80.00  
36.00   -80.00  
37.00   -80.00  
38.00   -80.00  
39.00   -80.00  
40.00   -80.00  
41.00   -80.00  
42.00   -80.00  
43.00   -80.00  
44.00   -80.00  
45.00   -80.00  
46.00   -80.00  
47.00   -80.00  
48.00   -80.00  
49.00   -80.00  
50.00   -80.00  
51.00   -80.00  
52.00   -80.00  
53.00   -80.00  
54.00   -80.00  
55.00   -80.00  
56.00   -80.00  
57.00   -80.00  
58.00   -80.00  
59.00   -80.00  
60.00   -80.00  
61.00   -80.00  
62.00   -80.00  
63.00   -80.00  
64.00   -80.00  
65.00   -80.00  
66.00   -80.00  
67.00   -80.00  
68.00   -80.00  
69.00   -80.00  
70.00   -80.00  
71.00   -80.00  
72.00   -80.00  
73.00   -80.00  
74.00   -80.00  
75.00   -80.00  
76.00   -80.00  
77.00   -80.00  
78.00   -80.00  
79.00   -80.00  
80.00   -80.00  
81.00   -80.00  
82.00   -80.00  
83.00   -80.00  
84.00   -80.00  
85.00   -80.00  
86.00   -80.00  
87.00   -80.00  
88.00   -80.00  
89.00   -80.00  
90.00   -80.00  
91.00   -80.00  
92.00   -80.00  
93.00   -80.00  
94.00   -80.00  
95.00   -80.00  
96.00   -80.00  
97.00   -80.00  
98.00   -80.00  
99.00   -80.00  
100.00  -80.00
100.00  -79.00  
100.00  -78.00  
100.00  -77.00  
100.00  -76.00  
100.00  -75.00  
100.00  -74.00  
100.00  -73.00  
100.00  -72.00  
100.00  -71.00  
100.00  -70.00  
100.00  -69.00  
100.00  -68.00  
100.00  -67.00  
100.00  -66.00  
100.00  -65.00  
100.00  -64.00  
100.00  -63.00  
100.00  -62.00  
100.00  -61.00  
100.00  -60.00  
100.00  -59.00  
100.00  -58.00  
100.00  -57.00  
100.00  -56.00  
100.00  -55.00
101.00  -55.00  
102.00  -55.00  
103.00  -55.00  
104.00  -55.00  
105.00  -55.00  
106.00  -55.00  
107.00  -55.00  
108.00  -55.00  
109.00  -55.00  
110.00  -55.00  
111.00  -55.00  
112.00  -55.00  
113.00  -55.00  
114.00  -55.00  
115.00  -55.00  
116.00  -55.00  
117.00  -55.00  
118.00  -55.00  
119.00  -55.00  
120.00  -55.00  
121.00  -55.00  
122.00  -55.00  
123.00  -55.00  
124.00  -55.00  
125.00  -55.00  
126.00  -55.00  
128.04  -56.84
129.8   -58.1
134.1   -60.92
137.4   -62.68
140.93  -64.33
144.9   -66.1
148.98  -67.42
152.83  -68.52
157.24  -69.51
162.42  -70.61
167.16  -71.28
172.56  -72.5
180.00  -72.6
-179.00 -72.6
-171.59 -72.82
-162.23 -75.1
-154.73 -76.3
-152.9  -76.9
-147.0  -76.73
-135.83 -76.02
-125.05 -74.77
-114.62 -73.68
-106.58 -72.38
-96.99  -70.39
-88.5   -68.41
-81.01  -66.3
-75.5   -64.55
-69.88  -62.79
-63.49  -60.72
-60.00  -59.4
-60.00  -60.00
-60.00  -61.00
-60.00  -62.00
-60.00  -63.00
-60.00  -64.00
-60.00  -65.00
