# NUM   NAME        RAJ2000      DEJ2000         RADEG      DEDEG       MSLON        MSLAT
   1  0010-6947   00:10:19.87  -69:47:40.56     2.58282  -69.794600   -19.56937   -13.84173
   2  0018-7705   00:18:57.90  -77:05:00.23     4.74128  -77.083400   -12.11547   -15.01799
   3  0023-7358   00:23:19.08  -73:58:08.04     5.82950  -73.968900   -15.14808   -13.94466
   4  0024-7223   00:24:56.64  -72:23:08.15     6.23604  -72.385600   -16.67737   -13.38564
   5  0044-7137   00:44:06.76  -71:37:45.84    11.02820  -71.629400   -16.91433   -11.74021
   6  0044-7313   00:44:32.54  -73:13:31.79    11.13560  -73.225500   -15.38135   -12.28828
   7  0045-7448   00:45:03.28  -74:48:14.76    11.26370  -74.804100   -13.85882   -12.82186
   8  0050-8228   00:50:34.51  -82:28:26.40    12.64380  -82.474000    -6.36406   -15.28088
   9  0101-7043   01:01:27.40  -70:43:05.51    15.36420  -70.718200   -17.19874   -10.09455
  10  0103-7218   01:03:36.31  -72:18:54.36    15.90130  -72.315100   -15.66017   -10.63165
  11  0106-7353   01:06:08.44  -73:53:32.28    16.53520  -73.892300   -14.13343   -11.15486
  12  0109-7527   01:09:11.01  -75:27:01.80    17.29590  -75.450500   -12.61727   -11.66435
  13  0117-7830   01:17:34.29  -78:30:40.32    19.39290  -78.511200    -9.61217   -12.64309
  14  0120-7115   01:20:26.78  -71:15:32.76    20.11160  -71.259100   -15.98573    -8.97582
  15  0124-7249   01:24:33.52  -72:49:30.00    21.13970  -72.825000   -14.45277    -9.48853
  16  0129-7422   01:29:25.34  -74:22:02.64    22.35560  -74.367400   -12.93183    -9.98812
  17  0159-8421   01:59:53.35  -84:21:53.64    29.97230  -84.364900    -3.68420   -14.44414
  18  0209-7316   02:09:12.33  -73:16:18.11    32.30140  -73.271700   -12.17151    -7.10881
  19  0213-7730   02:13:11.68  -77:30:44.63    33.29870  -77.512400    -8.77495    -9.70837
  20  0215-6726   02:15:05.64  -67:26:07.44    33.77350  -67.435400   -16.21016    -2.85180
  21  0232-7017   02:32:03.69  -70:17:01.67    38.01540  -70.283800   -13.10265    -3.75649
  22  0243-7432   02:43:29.49  -74:32:00.24    40.87290  -74.533400    -9.58711    -6.31237
  23  0313-6752   03:13:19.51  -67:52:10.56    48.33130  -67.869600   -11.74157     0.42381
  24  0314-7229   03:14:54.04  -72:29:21.48    48.72520  -72.489300    -9.05691    -3.33905
  25  0320-7948   03:20:58.24  -79:48:58.31    50.24270  -79.816200    -4.71684    -9.27324
  26  0340-7624   03:40:17.13  -76:24:52.91    55.07140  -76.414700    -5.57921    -5.83697
  27  0408-7202   04:08:09.57  -72:02:18.23    62.03990  -72.038400    -5.66787    -1.07660
  28  0408-6825   04:08:49.82  -68:25:01.56    62.20760  -68.417100    -6.91676     2.32309
  29  0446-7522   04:46:05.37  -75:22:26.04    71.52240  -75.373900    -2.16584    -3.50019
  30  0451-6846   04:51:31.05  -68:46:39.71    72.87940  -68.777700    -3.07401     3.04616
  31  0452-8044   04:52:55.82  -80:44:52.44    73.23260  -80.747900    -0.74803    -8.69756
  32  0455-7034   04:55:18.23  -70:34:47.63    73.82600  -70.579900    -2.42422     1.33321
